date,category,description,amount
2026-05-10,Food,Groceries,42.35
2026-05-11,Transport,Bus pass,18.00
2026-05-12,Shopping,T-shirt,24.99
2026-05-13,Health,Pharmacy,13.45
2026-05-14,Other,Phone charger,9.80
2026-05-15,Rent,Monthly rent,750.00
2026-05-17,Food,Coffee and snack,7.60
2026-05-19,Transport,Taxi ride,16.75
2026-05-21,Shopping,Notebook,5.25
2026-05-23,Health,Dentist visit,65.00
2026-05-25,Food,Restaurant dinner,38.90
2026-05-27,Other,Streaming service,12.99
2026-05-29,Transport,Train ticket,22.40
2026-05-31,Shopping,Shoes,58.70
2026-06-02,Food,Fresh fruit,11.30
2026-06-04,Health,Vitamins,19.95
2026-06-05,Rent,Monthly rent,750.00
2026-06-07,Other,Gift wrap,4.50
2026-06-09,Transport,Fuel,46.20
2026-06-11,Food,Lunch,14.25
2026-06-13,Shopping,Backpack,39.99
2026-06-15,Health,Doctor appointment,80.00
2026-06-17,Other,Post office,6.35
2026-06-19,Food,Groceries,51.85
2026-06-21,Transport,Metro card,20.00
2026-06-23,Shopping,Kitchen towels,8.40
2026-06-25,Health,Eye drops,10.15
2026-06-27,Other,Online course,29.00
2026-06-29,Food,Bakery,6.95
2026-07-01,Transport,Parking,5.75
2026-07-03,Shopping,Desk lamp,27.60
2026-07-05,Health,First aid kit,17.35
2026-07-07,Other,Cloud storage,3.99
2026-07-08,Food,Takeaway,21.45
